Andar;Ambiente;Item;Quantidade instalada;Observação
1º Andar;Corredores;Saboneteira/Dispensador com reservatório branco Bellplus — álcool;3;Instaladas nas entradas dos banheiros.
1º Andar;Banheiro masculino;Saboneteira/Dispensador com reservatório branco Bellplus — álcool;1;
1º Andar;Banheiro masculino;Saboneteira/Dispensador com reservatório branco Bellplus;1;
1º Andar;Banheiro masculino;Dispenser suporte de papel-toalha;1;
1º Andar;Banheiro masculino;Torneira temporizada (de mesa) Blukit;2;
1º Andar;Banheiro masculino;Sifão para lavatório;2;
1º Andar;Banheiro masculino;Porta-papel higiênico Clean;2;
1º Andar;Banheiro masculino;Dispenser Álcool Spray Premisse;2;
1º Andar;Banheiro masculino;Válvula de descarga para mictório cromada;3;
1º Andar;Banheiro feminino;Porta-papel higiênico Clean;4;
1º Andar;Banheiro feminino;Dispenser Álcool Spray Premisse;3;
1º Andar;Banheiro feminino;Saboneteira/Dispensador com reservatório branco Bellplus — álcool;1;
1º Andar;Banheiro feminino;Saboneteira/Dispensador com reservatório branco Bellplus;2;
1º Andar;Banheiro feminino;Torneira temporizada (de mesa) Blukit;4;
1º Andar;Banheiro feminino;Sifão para lavatório;4;
1º Andar;Banheiro feminino;Dispenser suporte de papel-toalha;2;
1º Andar;SABES > Expurgo;Saboneteira/Dispensador com reservatório branco Bellplus;1;
1º Andar;SABES > Expurgo;Dispenser suporte de papel-toalha;1;
1º Andar;SABES > Banheiro masculino;Dispenser suporte de papel-toalha;1;
1º Andar;SABES > Banheiro masculino;Torneira temporizada (de mesa) Blukit;1;
1º Andar;SABES > Banheiro masculino;Sifão para lavatório;1;
1º Andar;SABES > Banheiro masculino;Porta-papel higiênico Clean;1;
1º Andar;SABES > Banheiro masculino;Saboneteira/Dispensador com reservatório branco Bellplus — álcool;1;
1º Andar;SABES > Banheiro masculino;Chuveiro;1;
1º Andar;SABES > Banheiro feminino;Saboneteira/Dispensador com reservatório branco Bellplus;1;
1º Andar;SABES > Banheiro feminino;Dispenser suporte de papel-toalha;1;
1º Andar;SABES > Banheiro feminino;Saboneteira/Dispensador com reservatório branco Bellplus — álcool;1;
1º Andar;SABES > Banheiro feminino;Porta-papel higiênico Clean;1;
1º Andar;SABES > Banheiro feminino;Torneira temporizada (de mesa) Blukit;1;
1º Andar;SABES > Banheiro feminino;Sifão para lavatório;1;
1º Andar;SABES > Banheiro feminino;Chuveiro;1;
1º Andar;SABES > Banheiro feminino 2;Chuveiro;1;
1º Andar;SABES > Banheiro feminino 2;Saboneteira/Dispensador com reservatório branco Bellplus — álcool;1;
1º Andar;SABES > Banheiro feminino 2;Porta-papel higiênico Clean;1;
1º Andar;SABES > Banheiro feminino 2;Dispenser suporte de papel-toalha;1;
1º Andar;SABES > Banheiro feminino 2;Saboneteira/Dispensador com reservatório branco Bellplus;1;
1º Andar;SABES > Banheiro feminino 2;Torneira temporizada (de mesa) Blukit;1;
1º Andar;SABES > Banheiro feminino 2;Sifão para lavatório;1;
1º Andar;SABES > Banheiro feminino 3;Chuveiro;1;
